DATAFLOW,MEASURE: Measure,SEX: Sex,AGE: Age,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2016-Q2,27275,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2016-Q3,27367,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2016-Q4,27631,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2017-Q1,27990,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2017-Q2,28131,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2017-Q3,28179,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2017-Q4,28563,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2018-Q1,29016,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2018-Q2,29275,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2018-Q3,29281,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2018-Q4,29436,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2019-Q1,29574,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2019-Q2,29517,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2019-Q3,29616,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2019-Q4,30009,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2020-Q1,30423,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2020-Q2,30671,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2020-Q3,30818,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2020-Q4,31179,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,3: Persons,92: 92,AUS: Australia,Q: Quarterly,2021-Q1,31456,PSNS: Persons,,
